
Task2 Solution (Block Perspective) of Teaching Assistant:

        Block36: H2, C3, R46 (time=3.81)
        Block37: H0, C0, R52 (time=0.71)
        Block38: H2, C3, R45 (time=3.90)
        Block39: H0, C0, R32 (time=3.24)
        Block40: H0, C0, R28 (time=3.71)
        Block41: H0, C0, R51 (time=0.80)
        Block42: H0, C0, R20 (time=4.23)
        Block43: H2, C3, R53 (time=3.15)
        Block44: H2, C3, R70 (time=0.85)
        Block45: H2, C3, R68 (time=0.94)
        Block46: H2, C3, R37 (time=4.28)
        Block47: H2, C3, R42 (time=4.14)
        Block48: H2, C3, R67 (time=1.13)
        Block49: H0, C0, R26 (time=3.95)
        Block50: H0, C0, R49 (time=1.13)
        Block51: H0, C0, R27 (time=3.85)
        Block52: H2, C3, R65 (time=1.41)
        Block53: H2, C3, R71 (time=0.80)
        Block54: H0, C0, R45 (time=1.69)
        Block55: H0, C0, R44 (time=2.12)
        Block56: H2, C3, R73 (time=0.47)
        Block57: H2, C3, R51 (time=3.24)
        Block58: H2, C3, R47 (time=3.71)
        Block59: H0, C0, R43 (time=2.35)
        Block60: H0, C0, R54 (time=0.52)
        Block61: H2, C3, R43 (time=4.09)
        Block62: H0, C0, R16 (time=4.70)
        Block63: H2, C3, R35 (time=4.65)
        Block64: H2, C3, R50 (time=3.34)
        Block65: H0, C0, R19 (time=4.28)
        Block66: H2, C3, R62 (time=2.35)
        Block67: H0, C0, R38 (time=2.63)
        Block68: H0, C0, R42 (time=2.40)
        Block69: H0, C0, R41 (time=2.49)
        Block70: H0, C0, R39 (time=2.63)
        Block71: H2, C3, R39 (time=4.18)
        Block72: H2, C3, R52 (time=3.20)
        Block73: H0, C0, R35 (time=3.15)
        Block74: H0, C0, R21 (time=4.18)
        Block75: H2, C3, R69 (time=0.94)
        Block76: H2, C3, R66 (time=1.32)
        Block77: H0, C0, R36 (time=3.06)

Job4 obtains 2 cores (speed=35.15) and finishes at time 147.82:
        Block0: H2, C10, R17 (time=2.25)
        Block1: H4, C2, R13 (time=1.65)
        Block2: H4, C2, R18 (time=1.02)
        Block3: H4, C2, R7 (time=2.76)
        Block4: H2, C10, R24 (time=1.25)
        Block5: H4, C2, R17 (time=1.08)
        Block6: H2, C10, R28 (time=0.63)
        Block7: H4, C2, R11 (time=1.82)
        Block8: H2, C10, R16 (time=2.67)
        Block9: H4, C2, R20 (time=0.74)
        Block10: H2, C10, R29 (time=0.31)
        Block11: H2, C10, R22 (time=1.56)
        Block12: H4, C2, R9 (time=2.22)
        Block13: H2, C10, R21 (time=1.62)
        Block14: H4, C2, R10 (time=2.08)
        Block15: H4, C2, R15 (time=1.39)
        Block16: H4, C2, R19 (time=0.80)
        Block17: H2, C10, R25 (time=1.08)
        Block18: H2, C10, R20 (time=1.79)
        Block19: H2, C10, R19 (time=1.96)
        Block20: H2, C10, R27 (time=0.85)
        Block21: H2, C10, R23 (time=1.31)
        Block22: H2, C10, R15 (time=2.76)
        Block23: H4, C2, R14 (time=1.59)
