
Task1 Solution (Block Perspective) of Teaching Assistant:

        Block14: H0, C8, R35 (time=4.27)
        Block15: H0, C8, R37 (time=3.22)
        Block16: H0, C4, R33 (time=4.27)
        Block17: H0, C8, R38 (time=3.08)
        Block18: H0, C4, R36 (time=3.03)
        Block19: H0, C4, R41 (time=1.39)
        Block20: H0, C8, R39 (time=2.68)
        Block21: H0, C1, R40 (time=3.03)
        Block22: H0, C7, R29 (time=2.68)
        Block23: H0, C7, R27 (time=3.47)
        Block24: H0, C7, R30 (time=2.28)
        Block25: H0, C4, R38 (time=2.28)
        Block26: H0, C1, R43 (time=2.28)
        Block27: H0, C8, R42 (time=1.88)
        Block28: H0, C4, R37 (time=2.78)
        Block29: H0, C4, R39 (time=2.03)
        Block30: H0, C8, R36 (time=4.02)
        Block31: H0, C7, R31 (time=2.08)
        Block32: H0, C7, R32 (time=1.64)
        Block33: H0, C9, R35 (time=4.17)
        Block34: H0, C4, R35 (time=3.22)
        Block35: H0, C7, R33 (time=1.14)
        Block36: H0, C9, R34 (time=4.66)
        Block37: H0, C9, R38 (time=2.98)
        Block38: H0, C9, R36 (time=3.82)
        Block39: H0, C9, R42 (time=1.93)
        Block40: H0, C9, R39 (time=2.58)
        Block41: H0, C9, R37 (time=3.42)
        Block42: H0, C7, R28 (time=2.88)
        Block43: H0, C1, R38 (time=3.97)
        Block44: H0, C4, R32 (time=4.37)
        Block45: H0, C7, R25 (time=4.17)
        Block46: H0, C8, R43 (time=1.04)
        Block47: H0, C9, R43 (time=0.99)
        Block48: H0, C4, R34 (time=4.02)
        Block49: H0, C8, R41 (time=1.98)

Job6 obtains 1 cores (speed=9.00) and finishes at time 156.25:
        Block0: H0, C2, R21 (time=4.89)
        Block1: H0, C2, R20 (time=5.00)
        Block2: H0, C2, R17 (time=9.67)
        Block3: H0, C2, R18 (time=9.56)
        Block4: H0, C2, R22 (time=4.89)
        Block5: H0, C2, R16 (time=10.78)
        Block6: H0, C2, R24 (time=3.89)
        Block7: H0, C2, R19 (time=7.33)
        Block8: H0, C2, R25 (time=3.67)
        Block9: H0, C2, R23 (time=4.11)

Job7 obtains 6 cores (speed=15.60) and finishes at time 144.59:
        Block0: H0, C5, R32 (time=2.18)
        Block1: H0, C1, R13 (time=3.40)
